state,city,cases,solve,rate
Texas,Crosby,17,16,0.9411764705882353
Texas,Dallas,11377,7056,0.6201986463918432
Texas,Denton,290,244,0.8413793103448276
Texas,Dimmit,33,27,0.8181818181818182
Texas,Donley,6,5,0.8333333333333334
Texas,Duval,3337,2117,0.6344021576266107
Texas,Eastland,25,22,0.88
Texas,Ector,424,333,0.785377358490566
Texas,Ellis,217,180,0.8294930875576036
Texas,El Paso,1992,1680,0.8433734939759037
Texas,Erath,38,33,0.868421052631579
Texas,Falls,45,42,0.9333333333333333
Texas,Fannin,73,66,0.9041095890410958
Texas,Fayette,1024,817,0.7978515625
Texas,Fisher,7,7,1
Texas,Floyd,359,319,0.8885793871866295
Texas,Fort Bend,474,342,0.7215189873417721
Texas,Franklin,4793,3387,0.7066555393281869
Texas,Gaines,19,15,0.7894736842105263
Texas,Galveston,797,593,0.7440401505646174
Texas,Garza,8,8,1
Texas,Gillespie,18,14,0.7777777777777778
Texas,Gonzales,66,58,0.8787878787878788
Texas,Gray,57,46,0.8070175438596491
Texas,Grayson,247,204,0.8259109311740891
Texas,Gregg,460,380,0.8260869565217391
Texas,Grimes,55,45,0.8181818181818182
Texas,Guadalupe,145,110,0.7586206896551724
Texas,Hale,76,71,0.9342105263157895
Texas,Hardin,240,203,0.8458333333333333
Texas,Harris,16331,13065,0.8000122466474803
Texas,Harrison,832,711,0.8545673076923077
Texas,Hays,116,98,0.8448275862068966
Texas,Hemphill,8,6,0.75
Texas,Henderson,396,358,0.9040404040404041
Texas,Hidalgo,1159,844,0.728213977566868
Texas,Hill,96,86,0.8958333333333334
Texas,Hood,38,30,0.7894736842105263
Texas,Hopkins,137,116,0.8467153284671532
Texas,Houston,497,430,0.8651911468812877
Texas,Howard,438,364,0.8310502283105022
Texas,Hudspeth,11,8,0.7272727272727273
Texas,Hunt,178,140,0.7865168539325843
Texas,Hutchinson,32,27,0.84375
Texas,Jackson,5564,3941,0.7083033788641265
Texas,Jasper,370,309,0.8351351351351352
Texas,Jefferson,9573,7211,0.7532643894286013
Texas,Jim Wells,96,85,0.8854166666666666
Texas,Johnson,542,459,0.8468634686346863
Texas,Jones,229,211,0.9213973799126638
Texas,Kaufman,193,161,0.8341968911917098
Texas,Kendall,31,22,0.7096774193548387
Texas,Kerr,85,74,0.8705882352941177
Texas,Kleberg,73,63,0.863013698630137
Texas,Lamar,166,133,0.8012048192771084
Texas,Lampasas,26,25,0.9615384615384616
Texas,La Salle,58,52,0.896551724137931
Texas,Lee,1751,1405,0.8023986293546544
Texas,Leon,417,328,0.7865707434052758
Texas,Liberty,284,235,0.8274647887323944
Texas,Limestone,140,123,0.8785714285714286
Texas,Live Oak,20,17,0.85
Texas,Lubbock,679,567,0.8350515463917526
Texas,McLennan,667,510,0.7646176911544228
Texas,Madison,1713,1426,0.8324576765907764
Texas,Marion,5241,3839,0.732493798893341
